id,sentence,pos_triplet,neg_triplet,pos_image_id,neg_image_id,neg_value,sentence_id
81,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2374475,2344338,subject,208
82,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2374475,2362669,subject,208
83,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2374475,2403089,subject,208
84,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2374475,2408994,subject,208
85,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2374475,2351299,subject,208
86,a cat is drinking the water.,"cat,drink,water","('woman', 'drink', 'water')",2349994,2319593,subject,208
87,a cat is drinking the water.,"cat,drink,water","('man', 'drink', 'water')",2349994,2351851,subject,208
88,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2349994,2372988,subject,208
89,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2349994,2400930,subject,208
90,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2349994,2348412,subject,208
91,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2349994,2375724,subject,208
92,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2349994,2344338,subject,208
93,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2349994,2362669,subject,208
94,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2349994,2403089,subject,208
95,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2349994,2408994,subject,208
96,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2349994,2351299,subject,208
97,a woman is drinking the water.,"woman,drink,water","('cat', 'drink', 'water')",2319593,2344463,subject,90
98,a woman is drinking the water.,"woman,drink,water","('cat', 'drink', 'water')",2319593,2402707,subject,90
99,a woman is drinking the water.,"woman,drink,water","('cat', 'drink', 'water')",2319593,2415551,subject,90
100,a woman is drinking the water.,"woman,drink,water","('cat', 'drink', 'water')",2319593,2374475,subject,90
101,a woman is drinking the water.,"woman,drink,water","('cat', 'drink', 'water')",2319593,2349994,subject,90
102,a woman is drinking the water.,"woman,drink,water","('man', 'drink', 'water')",2319593,2351851,subject,90
103,a woman is drinking the water.,"woman,drink,water","('dog', 'drink', 'water')",2319593,2372988,subject,90
104,a woman is drinking the water.,"woman,drink,water","('dog', 'drink', 'water')",2319593,2400930,subject,90
105,a woman is drinking the water.,"woman,drink,water","('dog', 'drink', 'water')",2319593,2348412,subject,90
106,a woman is drinking the water.,"woman,drink,water","('horse', 'drink', 'water')",2319593,2375724,subject,90
107,a woman is drinking the water.,"woman,drink,water","('horse', 'drink', 'water')",2319593,2344338,subject,90
108,a woman is drinking the water.,"woman,drink,water","('horse', 'drink', 'water')",2319593,2362669,subject,90
109,a woman is drinking the water.,"woman,drink,water","('elephant', 'drink', 'water')",2319593,2403089,subject,90
110,a woman is drinking the water.,"woman,drink,water","('elephant', 'drink', 'water')",2319593,2408994,subject,90
111,a woman is drinking the water.,"woman,drink,water","('elephant', 'drink', 'water')",2319593,2351299,subject,90
112,a man is drinking the water.,"man,drink,water","('cat', 'drink', 'water')",2351851,2344463,subject,258
113,a man is drinking the water.,"man,drink,water","('cat', 'drink', 'water')",2351851,2402707,subject,258
114,a man is drinking the water.,"man,drink,water","('cat', 'drink', 'water')",2351851,2415551,subject,258
115,a man is drinking the water.,"man,drink,water","('cat', 'drink', 'water')",2351851,2374475,subject,258
116,a man is drinking the water.,"man,drink,water","('cat', 'drink', 'water')",2351851,2349994,subject,258
117,a man is drinking the water.,"man,drink,water","('woman', 'drink', 'water')",2351851,2319593,subject,258
118,a man is drinking the water.,"man,drink,water","('dog', 'drink', 'water')",2351851,2372988,subject,258
119,a man is drinking the water.,"man,drink,water","('dog', 'drink', 'water')",2351851,2400930,subject,258
120,a man is drinking the water.,"man,drink,water","('dog', 'drink', 'water')",2351851,2348412,subject,258
121,a man is drinking the water.,"man,drink,water","('horse', 'drink', 'water')",2351851,2375724,subject,258
122,a man is drinking the water.,"man,drink,water","('horse', 'drink', 'water')",2351851,2344338,subject,258
123,a man is drinking the water.,"man,drink,water","('horse', 'drink', 'water')",2351851,2362669,subject,258
124,a man is drinking the water.,"man,drink,water","('elephant', 'drink', 'water')",2351851,2403089,subject,258
125,a man is drinking the water.,"man,drink,water","('elephant', 'drink', 'water')",2351851,2408994,subject,258
126,a man is drinking the water.,"man,drink,water","('elephant', 'drink', 'water')",2351851,2351299,subject,258
127,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2372988,2344463,subject,167
128,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2372988,2402707,subject,167
129,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2372988,2415551,subject,167
130,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2372988,2374475,subject,167
131,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2372988,2349994,subject,167
132,a dog is drinking the water.,"dog,drink,water","('woman', 'drink', 'water')",2372988,2319593,subject,167
133,a dog is drinking the water.,"dog,drink,water","('man', 'drink', 'water')",2372988,2351851,subject,167
134,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2372988,2375724,subject,167
135,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2372988,2344338,subject,167
136,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2372988,2362669,subject,167
137,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2372988,2403089,subject,167
138,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2372988,2408994,subject,167
139,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2372988,2351299,subject,167
140,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2400930,2344463,subject,167
141,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2400930,2402707,subject,167
142,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2400930,2415551,subject,167
143,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2400930,2374475,subject,167
144,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2400930,2349994,subject,167
145,a dog is drinking the water.,"dog,drink,water","('woman', 'drink', 'water')",2400930,2319593,subject,167
146,a dog is drinking the water.,"dog,drink,water","('man', 'drink', 'water')",2400930,2351851,subject,167
147,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2400930,2375724,subject,167
148,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2400930,2344338,subject,167
149,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2400930,2362669,subject,167
150,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2400930,2403089,subject,167
151,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2400930,2408994,subject,167
152,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2400930,2351299,subject,167
153,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2348412,2344463,subject,167
154,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2348412,2402707,subject,167
155,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2348412,2415551,subject,167
156,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2348412,2374475,subject,167
157,a dog is drinking the water.,"dog,drink,water","('cat', 'drink', 'water')",2348412,2349994,subject,167
158,a dog is drinking the water.,"dog,drink,water","('woman', 'drink', 'water')",2348412,2319593,subject,167
159,a dog is drinking the water.,"dog,drink,water","('man', 'drink', 'water')",2348412,2351851,subject,167
160,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2348412,2375724,subject,167
161,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2348412,2344338,subject,167
162,a dog is drinking the water.,"dog,drink,water","('horse', 'drink', 'water')",2348412,2362669,subject,167
163,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2348412,2403089,subject,167
164,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2348412,2408994,subject,167
165,a dog is drinking the water.,"dog,drink,water","('elephant', 'drink', 'water')",2348412,2351299,subject,167
166,a dog is standing on grass.,"dog,stand,grass","('cat', 'stand', 'grass')",2326326,2324856,subject,24
167,a dog is standing on grass.,"dog,stand,grass","('cat', 'stand', 'grass')",2397731,2324856,subject,24
168,a dog is laying on grass.,"dog,layingin,grass","('man', 'laying in', 'grass')",2354435,2410770,subject,128
169,a dog is laying on grass.,"dog,layingin,grass","('cat', 'laying in', 'grass')",2354435,2379026,subject,128
170,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2354435,2341902,subject,128
171,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2354435,2399253,subject,128
172,a dog is laying on grass.,"dog,layingin,grass","('man', 'laying in', 'grass')",2411072,2410770,subject,128
173,a dog is laying on grass.,"dog,layingin,grass","('cat', 'laying in', 'grass')",2411072,2379026,subject,128
174,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2411072,2341902,subject,128
175,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2411072,2399253,subject,128
176,a dog is laying on grass.,"dog,layingin,grass","('man', 'laying in', 'grass')",2369441,2410770,subject,128
177,a dog is laying on grass.,"dog,layingin,grass","('cat', 'laying in', 'grass')",2369441,2379026,subject,128
178,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2369441,2341902,subject,128
179,a dog is laying on grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2369441,2399253,subject,128
180,a dog is laying in grass.,"dog,layingin,grass","('man', 'laying in', 'grass')",2408498,2410770,subject,206
181,a dog is laying in grass.,"dog,layingin,grass","('cat', 'laying in', 'grass')",2408498,2379026,subject,206
182,a dog is laying in grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2408498,2341902,subject,206
183,a dog is laying in grass.,"dog,layingin,grass","('cow', 'laying in', 'grass')",2408498,2399253,subject,206
184,a horse is are eating grass.,"horse,eat,grass","('cow', 'eat', 'grass')",2345041,2383596,subject,186
185,a horse is are eating grass.,"horse,eat,grass","('zebra', 'eat', 'grass')",2345041,2394071,subject,186
186,a horse is are eating grass.,"horse,eat,grass","('zebra', 'eat', 'grass')",2345041,2325180,subject,186
187,a horse is are eating grass.,"horse,eat,grass","('zebra', 'eat', 'grass')",2345041,2388379,subject,186
188,a horse is are eating grass.,"horse,eat,grass","('zebra', 'eat', 'grass')",2345041,2340471,subject,186
189,a horse is walking on grass.,"horse,walk,grass","('man', 'walk', 'grass')",2386160,2407317,subject,98
190,a horse is walking on grass.,"horse,walk,grass","('woman', 'walk', 'grass')",2386160,2362530,subject,98
191,a horse is walking on grass.,"horse,walk,grass","('woman', 'walk', 'grass')",2386160,1592658,subject,98
192,a dog is sitting on a table.,"dog,sit,table","('man', 'sit', 'table')",2357994,2358258,subject,153
193,a dog is sitting on a table.,"dog,sit,table","('cat', 'sit', 'table')",2357994,2368732,subject,153
194,a dog is sitting on a table.,"dog,sit,table","('cat', 'sit', 'table')",2357994,2416600,subject,153
195,a dog is sitting on a table.,"dog,sit,table","('girl', 'sit', 'table')",2357994,2362132,subject,153
196,a dog is sitting on a table.,"dog,sit,table","('man', 'sit', 'table')",2400993,2358258,subject,153
197,a dog is sitting on a table.,"dog,sit,table","('cat', 'sit', 'table')",2400993,2368732,subject,153
198,a dog is sitting on a table.,"dog,sit,table","('cat', 'sit', 'table')",2400993,2416600,subject,153
199,a dog is sitting on a table.,"dog,sit,table","('girl', 'sit', 'table')",2400993,2362132,subject,153
200,a cat is sitting on a table.,"cat,sit,table","('man', 'sit', 'table')",2368732,2358258,subject,95
201,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2368732,2357994,subject,95
202,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2368732,2400993,subject,95
203,a cat is sitting on a table.,"cat,sit,table","('girl', 'sit', 'table')",2368732,2362132,subject,95
204,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2368732,2318432,subject,95
205,a cat is sitting on a table.,"cat,sit,table","('man', 'sit', 'table')",2416600,2358258,subject,95
206,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2416600,2357994,subject,95
207,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2416600,2400993,subject,95
208,a cat is sitting on a table.,"cat,sit,table","('girl', 'sit', 'table')",2416600,2362132,subject,95
209,a cat is sitting on a table.,"cat,sit,table","('dog', 'sit', 'table')",2416600,2318432,subject,95
210,a girl is sitting at a table.,"girl,sit,table","('man', 'sit', 'table')",2362132,2358258,subject,15
211,a girl is sitting at a table.,"girl,sit,table","('dog', 'sit', 'table')",2362132,2357994,subject,15
212,a girl is sitting at a table.,"girl,sit,table","('dog', 'sit', 'table')",2362132,2400993,subject,15
213,a girl is sitting at a table.,"girl,sit,table","('cat', 'sit', 'table')",2362132,2368732,subject,15
214,a girl is sitting at a table.,"girl,sit,table","('cat', 'sit', 'table')",2362132,2416600,subject,15
215,a girl is sitting at a table.,"girl,sit,table","('dog', 'sit', 'table')",2362132,2318432,subject,15
216,man are playing a soccer.,"man,play,soccer","('kid', 'play', 'soccer')",2401995,2396796,subject,61
217,a man is playing a soccer.,"man,play,soccer","('kid', 'play', 'soccer')",2315452,2396796,subject,135
218,a man is playing a soccer.,"man,play,soccer","('kid', 'play', 'soccer')",2356058,2396796,subject,135
219,a kid is playing a soccer.,"kid,play,soccer","('man', 'play', 'soccer')",2396796,2401995,subject,77
220,a kid is playing a soccer.,"kid,play,soccer","('man', 'play', 'soccer')",2396796,2315452,subject,77
221,a kid is playing a soccer.,"kid,play,soccer","('man', 'play', 'soccer')",2396796,2356058,subject,77
222,a man is chasing a frisbee.,"man,chase,frisbee","('dog', 'chase', 'frisbee')",2399915,2392212,subject,237
223,a man is chasing a frisbee.,"man,chase,frisbee","('dog', 'chase', 'frisbee')",2415899,2392212,subject,237
224,a man is chasing a frisbee.,"man,chase,frisbee","('dog', 'chase', 'frisbee')",2395862,2392212,subject,237
225,a man is throwing a frisbee.,"man,throw,frisbee","('woman', 'throw', 'frisbee')",2369092,2402088,subject,270
226,a man is throwing a frisbee.,"man,throw,frisbee","('woman', 'throw', 'frisbee')",2365287,2402088,subject,270
227,a man is throwing a frisbee.,"man,throw,frisbee","('woman', 'throw', 'frisbee')",2407317,2402088,subject,270
228,a man is throwing a frisbee.,"man,throw,frisbee","('woman', 'throw', 'frisbee')",2390835,2402088,subject,270
229,a woman is throwing a frisbee.,"woman,throw,frisbee","('man', 'throw', 'frisbee')",2402088,2369092,subject,43
230,a woman is throwing a frisbee.,"woman,throw,frisbee","('man', 'throw', 'frisbee')",2402088,2365287,subject,43
231,a woman is throwing a frisbee.,"woman,throw,frisbee","('man', 'throw', 'frisbee')",2402088,2407317,subject,43
232,a woman is throwing a frisbee.,"woman,throw,frisbee","('man', 'throw', 'frisbee')",2402088,2390835,subject,43
233,a dog is chases a frisbee.,"dog,chase,frisbee","('man', 'chase', 'frisbee')",2392212,2399915,subject,234
234,a dog is chases a frisbee.,"dog,chase,frisbee","('man', 'chase', 'frisbee')",2392212,2415899,subject,234
235,a dog is chases a frisbee.,"dog,chase,frisbee","('man', 'chase', 'frisbee')",2392212,2395862,subject,234
236,a man is kissing a bear.,"man,kiss,bear","('woman', 'kiss', 'bear')",2350842,2393277,subject,231
237,a woman is kissing a bear.,"woman,kiss,bear","('man', 'kiss', 'bear')",2393277,2350842,subject,278
238,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2396724,2377845,subject,196
239,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2396724,2411316,subject,196
240,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2344466,2377845,subject,196
241,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2344466,2411316,subject,196
242,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2351798,2377845,subject,196
243,a woman is holding a phone.,"woman,hold,phone","('man', 'hold', 'phone')",2351798,2411316,subject,196
244,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2377845,2396724,subject,2
245,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2377845,2344466,subject,2
246,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2377845,2351798,subject,2
247,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2411316,2396724,subject,2
248,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2411316,2344466,subject,2
249,a man is holding a phone.,"man,hold,phone","('woman', 'hold', 'phone')",2411316,2351798,subject,2
250,a man is laying a bench.,"man,layingin,bench","('woman', 'laying in', 'bench')",2355352,2363435,subject,110
251,a man is laying a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2355352,2336574,subject,110
252,a man is laying a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2355352,2379519,subject,110
253,a man is laying a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2355352,2362606,subject,110
254,a man is laying a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2355352,2393487,subject,110
255,a man is laying a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2355352,2328306,subject,110
256,a man is laying down on a bench.,"man,layingin,bench","('woman', 'laying in', 'bench')",2412700,2363435,subject,44
257,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2412700,2336574,subject,44
258,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2412700,2379519,subject,44
259,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2412700,2362606,subject,44
260,a man is laying down on a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2412700,2393487,subject,44
261,a man is laying down on a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2412700,2328306,subject,44
262,a man is laying down on a bench.,"man,layingin,bench","('woman', 'laying in', 'bench')",2360541,2363435,subject,44
263,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2360541,2336574,subject,44
264,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2360541,2379519,subject,44
265,a man is laying down on a bench.,"man,layingin,bench","('dog', 'laying in', 'bench')",2360541,2362606,subject,44
266,a man is laying down on a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2360541,2393487,subject,44
267,a man is laying down on a bench.,"man,layingin,bench","('cat', 'laying in', 'bench')",2360541,2328306,subject,44
268,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2317122,2361370,subject,218
269,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2317122,2361994,subject,218
270,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2317122,2331042,subject,218
271,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2317122,2324103,subject,218
272,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2327047,2361370,subject,218
273,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2327047,2361994,subject,218
274,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2327047,2331042,subject,218
275,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",2327047,2324103,subject,218
276,a man is sits on a bench.,"man,sit,bench","('cat', 'sit', 'bench')",285784,2361370,subject,218
